gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.0,0.017,0.862,0.965,0.987464215,2047749,0.9867433478214778
0.283,0.0,0.591,0.85,0.100497817,204546,0.0985640353497875
0.38,0.06,0.381,0.865,0.000520417,1577,0.0007599047830151403
0.111,0.442,0.748,0.551,0.454465684,880255,0.42416612858147895
0.179,0.174,0.546,0.663,0.403025839,823644,0.396887137033432
0.096,0.327,0.687,0.6,0.933682495,1907244,0.9190385782986228
0.415,0.075,0.446,0.837,0.006848302,14761,0.0071128436918747534
0.02,0.122,0.761,0.714,0.986451812,2018443,0.9726217437815021
0.027,0.333,0.835,0.579,0.960349527,1969042,0.9488170156992377
0.1,0.189,0.761,0.723,0.909102912,1860211,0.8963749120592118
0.053,0.06,0.677,0.821,0.986804539,2015571,0.9712378208031764
0.339,0.103,0.387,0.858,0.02285016,46906,0.022602469088210633
0.163,0.309,0.553,0.528,0.360631613,779533,0.3756314871389609
0.014,0.233,0.861,0.603,0.973003852,1992127,0.9599409230650617
0.213,0.077,0.992,0.857,0.228596527,462507,0.2228670142536357
0.267,0.309,0.465,0.528,0.083619442,196631,0.09475005541474321
0.423,0.279,0.81,0.679,0.019463113,42129,0.020300588841880053
0.23,0.356,0.472,0.48,0.087039256,229196,0.11044206509063925
0.0,0.0,0.617,0.897,0.998591983,2066625,0.9958390755857097
0.008,0.294,0.719,0.678,0.985060178,2013919,0.9704417759702398
0.199,0.155,0.528,0.682,0.30006857,611420,0.29462332430635196
0.231,0.047,0.473,0.917,0.166822069,336620,0.16220618139413856
0.162,0.263,0.487,0.574,0.399341962,838812,0.40419610072954715
0.0,0.141,0.751,0.797,0.987215572,2046202,0.9859978990584313
0.198,0.259,0.855,0.997,0.314807453,644364,0.31049796170118443
0.0,0.44,0.85,0.558,0.674908048,1401246,0.6752146718965334
0.097,0.324,0.623,0.641,0.937327341,1910323,0.9205222478147317
0.0,0.175,0.847,0.782,0.987283515,2046453,0.9861188477588351
0.0,0.35,0.689,0.533,0.893110691,1850194,0.8915480469917022
0.073,0.153,0.651,0.92,0.986583843,2014671,0.970804140204119
0.13,0.134,0.593,0.834,0.49887508,1019443,0.49123627882771315
0.081,0.194,0.514,0.686,0.979188622,2000913,0.9641746094465272
0.172,0.326,0.854,0.91,0.418634011,856889,0.4129068164952825
0.0,0.098,0.763,0.866,0.987348085,2047749,0.9867433478214778
0.179,0.138,0.359,0.745,0.363724239,742054,0.3575715813922111
0.169,0.126,0.466,0.71,0.409426968,838382,0.40398889777666414
0.0,0.144,0.583,0.692,0.983551451,2033953,0.9800955061052591
0.15,0.135,0.57,0.83,0.451345591,917984,0.44234650116130025
0.139,0.206,0.4,0.676,0.447561967,917871,0.44229205015275197
0.114,0.092,0.611,0.744,0.619990083,1263872,0.6090186289910662
0.143,0.0,0.502,0.908,0.460031254,951062,0.45828570877865904
0.297,0.165,0.401,0.671,0.059750614,123577,0.05954771932191629
0.149,0.419,0.749,0.835,0.369260415,711146,0.3426780258859131
0.158,0.0,0.536,0.914,0.434988597,899820,0.433593862937656
0.032,0.128,0.694,0.708,0.985961752,2014556,0.9707487254609061
0.0,0.41,0.838,0.427,0.232042362,484647,0.2335355569904494
0.061,0.0,0.669,0.933,0.986801166,2042459,0.9841942696336845
0.0,0.288,0.739,0.623,0.978531354,2028701,0.9775647388760926
0.0,0.114,0.747,0.856,0.987300862,2047001,0.9863829110569278
0.0,0.432,0.785,0.471,0.37412005,781647,0.37665015467941365
0.362,0.304,0.418,0.653,0.023041461,48799,0.023514643948228175
0.0,0.094,0.756,0.817,0.987278214,2046846,0.9863082216204234
0.061,0.21,0.664,0.681,0.984793223,2010996,0.9690332777579677
0.035,0.386,0.66,0.516,0.83625851,1711765,0.8248436340506732
0.062,0.381,0.656,0.584,0.963133276,1968989,0.9487914767306265
0.066,0.414,0.661,0.557,0.93230098,1908337,0.9195652592928115
0.254,0.0,0.659,0.888,0.137271059,277342,0.1336420496708846
0.1,0.318,0.622,0.647,0.904130039,1845685,0.8893753071904243
0.0,0.176,0.895,0.807,0.987381334,2046900,0.9863342424563669
0.033,0.025,0.661,0.878,0.986706719,2015244,0.9710802501855189
0.0,0.157,0.645,0.726,0.985812855,2038867,0.9824634021761128
