gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.031,0.124,0.614,0.752,0.98562059,2015465,0.9711867428659542
0.315,0.018,0.316,0.87,0.000774361,2156,0.0010389059684087778
0.0,0.222,0.633,0.662,0.983326419,2034466,0.9803427040467219
0.157,0.034,0.564,0.843,0.438516349,902249,0.4347643186877789
0.198,0.299,0.528,0.537,0.261599636,586167,0.28245472856413173
0.0,0.082,0.724,0.755,0.986825741,2042334,0.9841340362171487
0.144,0.25,1.0,0.748,0.465286983,963178,0.46412401337663717
0.0,0.221,0.829,0.749,0.987012705,2045457,0.9856389078958782
0.0,0.18,0.795,0.773,0.987189551,2044829,0.9853362952112025
0.261,0.266,0.287,0.57,0.028500057,64108,0.030891550938195695
0.039,0.268,0.666,0.569,0.94990553,1946610,0.9380077677013965
0.204,0.027,0.49,0.81,0.262788886,543557,0.2619223615354221
0.267,0.377,0.444,0.459,0.040529399,106824,0.05147499590412768
0.279,0.487,0.46,0.491,0.002254176,2857,0.0013766949683413163
0.233,0.0,0.416,0.843,0.151924169,316207,0.1523698235401829
0.106,0.061,0.629,0.901,0.780895782,1597690,0.7698746181201391
0.092,0.26,0.301,0.649,0.890800136,1824512,0.8791727301639313
0.0,0.113,0.506,0.771,0.97990034,2033153,0.9797100122394302
0.148,0.237,0.574,0.642,0.450143332,930651,0.44845031465936797
0.288,0.303,0.429,0.592,0.072464208,157143,0.07572207819743068
0.259,0.239,0.598,0.743,0.129297114,262645,0.12656004548827618
0.277,0.0,0.424,0.924,0.090647481,188825,0.0909885990189181
0.0,0.287,0.692,0.55,0.921537023,1908635,0.9197088557578328
0.264,0.172,0.43,0.731,0.106904729,221697,0.10682854196582597
0.0,0.122,0.589,0.766,0.98500139,2038374,0.9822258415812959
0.024,0.267,0.683,0.57,0.952026229,1948771,0.9390490830064666
0.136,0.079,0.476,0.893,0.472824356,977505,0.4710277266462997
0.0,0.0,0.638,0.934,0.998949529,2065012,0.9950618235787323
0.323,0.164,0.39,0.672,0.033594843,67829,0.03268457928163218
0.173,0.409,0.549,0.427,0.081424054,198915,0.0958506404016846
0.27,0.418,0.64,0.418,0.0,1,4.81867332286075e-07
0.069,0.0,0.455,0.861,0.973797006,2021284,0.9739907288725268
